read length,I=1,I=2,I=3,I=4
215,0.069767,0.069767,0.069767,0.069767
480,0.104167,0.10625,0.10625,0.10625
580,0.031034,0.031034,0.031034,0.031034
800,0.02625,0.02625,0.02625,0.02625
815,0.031902,0.028221,0.028221,0.028221
885,0.029379,0.029379,0.029379,0.029379
1055,0.070142,0.070142,0.070142,0.070142
1075,0.04093,0.04093,0.04093,0.04093
1130,0.015929,0.015929,0.015929,0.015929
1140,0.014912,0.014912,0.014912,0.014912
1215,0.093827,0.093827,0.093827,0.093827
1320,0.052273,0.052273,0.052273,0.052273
1370,0.210949,0.208029,0.208029,0.208029
1385,0.085921,0.085921,0.085921,0.085921
1415,0.018375,0.018375,0.018375,0.018375
1425,0.008421,0.008421,0.008421,0.008421
1495,0.111706,0.111706,0.111706,0.111706
1500,0.028667,0.028667,0.028667,0.028667
1505,0.095681,0.095681,0.095681,0.095681
1530,0.028105,0.028105,0.028105,0.028105
1535,0.051466,0.051466,0.051466,0.051466
1575,0.046984,0.046984,0.046984,0.046984
1580,0.133544,0.133544,0.133544,0.133544
1600,0.13125,0.13125,0.13125,0.13125
1685,0.004748,0.004748,0.004748,0.004748
1715,0.063557,0.063557,0.063557,0.063557
1735,0.039193,0.039193,0.039193,0.039193
1745,0.046418,0.046418,0.046418,0.046418
1800,0.063889,0.063889,0.063889,0.063889
1840,0.053261,0.053261,0.053261,0.053261
1880,0.048404,0.045745,0.045745,0.045745
1895,0.024274,0.024274,0.024274,0.024274
1900,0.080526,0.080526,0.080526,0.080526
1905,0.044094,0.044094,0.044094,0.044094
1955,0.012788,0.012788,0.012788,0.012788
1975,0.011646,0.011646,0.011646,0.011646
1985,0.016625,0.016121,0.016121,0.016121
2110,0.065877,0.065877,0.065877,0.065877
2110,0.022749,0.020379,0.020379,0.020379
2120,0.014623,0.014623,0.014623,0.014623
2140,0.070561,0.070093,0.070093,0.070093
2145,0.022378,0.022378,0.022378,0.022378
2155,0.043155,0.043155,0.043155,0.043155
2205,0.009524,0.009524,0.009524,0.009524
2230,0.026906,0.026906,0.026906,0.026906
2230,0,0,0,0
2235,0.019239,0.019239,0.019239,0.019239
2335,0.002998,0.002998,0.002998,0.002998
2335,0.022698,0.022698,0.022698,0.022698
2355,0.031423,0.031423,0.031423,0.031423
2385,0.011321,0.011321,0.011321,0.011321
2415,0.027329,0.027329,0.027329,0.027329
2425,0.006186,0.005773,0.005773,0.005773
2465,0.082353,0.081542,0.081542,0.081542
2570,0.021012,0.021012,0.021012,0.021012
2620,0.025954,0.025954,0.025954,0.025954
2655,0.032015,0.032015,0.032015,0.032015
2725,0.01211,0.01211,0.01211,0.01211
2770,0.015523,0.015523,0.015523,0.015523
2800,0.0375,0.0375,0.0375,0.0375
2845,0.038664,0.037258,0.037258,0.037258
2870,0.052962,0.052962,0.052962,0.052962
2945,0.033956,0.033956,0.033956,0.033956
2955,0.020305,0.020305,0.020305,0.020305
3010,0.015282,0.015282,0.015282,0.015282
3010,0.045515,0.045515,0.045515,0.045515
3015,0.041128,0.041128,0.041128,0.041128
3070,0.030945,0.030945,0.030945,0.030945
3085,0.022366,0.022366,0.022366,0.022366
3085,0.024635,0.024635,0.024635,0.024635
3170,0.05142,0.05142,0.05142,0.05142
3285,0.0207,0.020091,0.020091,0.020091
3290,0.028267,0.028267,0.028267,0.028267
3365,0.023477,0.023477,0.023477,0.023477
3385,0.020975,0.020975,0.020975,0.020975
3405,0.01351,0.01351,0.01351,0.01351
3465,0.025108,0.02482,0.02482,0.02482
3465,0.008081,0.008081,0.008081,0.008081
3540,0.026271,0.025989,0.025989,0.025989
3570,0.018768,0.018768,0.018768,0.018768
3575,0.017063,0.017343,0.017343,0.017343
3690,0.016802,0.016802,0.016802,0.016802
3735,0.081928,0.081392,0.081392,0.081392
3735,0.022222,0.022222,0.022222,0.022222
3735,0.027041,0.026774,0.026506,0.026506
3800,0.029474,0.029737,0.029737,0.029737
3805,0.021813,0.021813,0.021813,0.021813
3820,0.012304,0.012304,0.012304,0.012304
3990,0.012531,0.012531,0.012531,0.012531
4045,0.025958,0.025711,0.025711,0.025711
4100,0.02,0.019756,0.019756,0.019756
4215,0.03013,0.03013,0.03013,0.03013
4260,0.020892,0.020892,0.020892,0.020892
4280,0.031308,0.030607,0.030607,0.030607
4325,0.046936,0.046936,0.046936,0.046936
4360,0.00344,0.00344,0.00344,0.00344
4425,0.014011,0.014011,0.014011,0.014011
4490,0.031626,0.031403,0.031403,0.031403
4735,0.053432,0.053432,0.053432,0.053432
4855,0.002884,0.002884,0.002884,0.002884
5025,0.059303,0.059303,0.059303,0.059303
5145,0.01827,0.018076,0.018076,0.018076
5200,0.026923,0.026923,0.026923,0.026923
5330,0.033396,0.033021,0.033021,0.033021
5340,0.033333,0.033146,0.033146,0.033146
5345,0.015341,0.015154,0.015154,0.015154
5350,0.021495,0.020935,0.020935,0.020935
5375,0.026233,0.026419,0.026419,0.026419
