read length,I=1,I=2,I=3,I=4
215,2.576392,3.052977,4.300496,4.984457
480,3.86452,5.171537,10.334405,12.632493
580,5.294413,6.28122,11.681848,14.039999
800,5.565339,6.854278,14.12691,18.291142
815,5.798386,7.019616,13.154585,17.348814
885,5.579479,7.51146,14.358572,17.671908
1055,22.392868,36.069037,96.785007,131.52004
1075,19.407576,29.065829,81.723896,110.431785
1130,8.177211,10.489624,20.851907,27.427324
1140,8.215945,10.933532,20.947485,26.818144
1215,25.190353,45.843877,132.568707,200.800469
1320,21.080764,33.514359,89.988138,121.828815
1370,22.614451,38.601889,134.378477,185.463738
1385,29.236581,48.246333,144.038475,194.488126
1415,7.767047,11.452449,28.691828,40.111028
1425,9.228767,12.85692,27.505879,35.375718
1495,112.857668,219.173246,755.398928,1042.979938
1500,17.265482,26.971772,74.619836,99.422222
1505,15.66341,21.915079,58.800142,79.753303
1530,10.362588,14.546648,32.181922,41.221057
1535,19.253912,30.506108,77.873078,104.442552
1575,10.627882,14.695744,30.470938,38.640605
1580,91.206751,163.105365,537.62187,778.807983
1600,9.34797,14.008537,33.378189,47.204859
1685,10.68661,14.847392,33.487514,43.043692
1715,64.437164,104.758202,290.89532,398.808805
1735,22.07971,33.492463,83.833038,113.162152
1745,19.530727,34.590872,92.607492,142.412113
1800,96.907553,166.213325,518.70248,709.403828
1840,105.97169,169.938433,509.982971,692.766679
1880,17.540323,26.685698,68.942553,94.704231
1895,11.116679,15.610999,33.357305,41.973907
1900,117.948145,199.103614,608.652785,865.322128
1905,12.301416,17.805018,39.086623,51.144216
1955,12.036744,17.147482,40.087932,51.9134
1975,12.674245,17.391761,42.244338,57.424846
1985,12.02963,17.136891,40.419609,52.385431
2110,13.227141,19.302706,49.176262,62.451674
2110,13.289512,18.771592,39.784016,50.520718
2120,18.872238,26.254573,63.734935,84.057205
2140,23.3403,38.16982,128.363116,176.405299
2145,13.992528,19.185769,44.909531,59.16172
2155,20.636663,32.726743,128.012036,127.710961
2205,14.059074,19.125476,39.17742,50.859955
2230,13.641978,19.473485,44.578336,56.964613
2230,14.088003,18.243274,39.644503,52.827808
2235,13.869324,18.513108,42.098005,56.131125
2335,13.623493,19.561351,44.520495,57.643397
2335,14.682276,21.568699,48.325749,63.220041
2355,23.693649,36.790999,97.172548,134.236783
2385,11.655202,19.630003,46.708473,62.319315
2415,13.100449,21.000983,51.372367,69.531629
2425,14.935804,20.087294,45.503512,57.963565
2465,65.258728,113.502867,312.910651,430.195641
2570,15.179496,22.913104,47.166529,63.378825
2620,15.587582,24.647149,67.609688,90.47268
2655,22.069752,33.418011,86.918142,114.691606
2725,16.050723,23.018494,48.280765,64.631896
2770,18.618184,24.831482,56.75645,77.201471
2800,21.215074,32.353189,87.082723,114.245744
2845,77.926025,119.687099,342.522648,476.254822
2870,103.1926,183.598167,519.271418,691.404919
2945,17.226546,25.028374,55.782529,72.201461
2955,18.232597,25.270025,53.946864,70.423466
3010,22.491944,32.254164,70.800118,93.503816
3010,104.143368,168.923591,469.340851,645.721564
3015,22.336202,34.241375,79.758212,105.869736
3070,18.74567,31.366776,75.988874,108.400258
3085,19.787017,27.130513,64.264709,86.412977
3085,24.733873,37.927125,92.48327,122.178366
3170,19.197938,28.7021,71.848773,96.973494
3285,22.71555,33.583592,82.107263,111.335279
3290,25.274645,36.920414,84.69723,112.811141
3365,31.118121,54.939484,160.156592,222.020548
3385,34.119228,51.843461,143.982288,195.283894
3405,25.663682,39.921208,97.276785,126.897063
3465,19.725409,31.973023,86.065447,110.512116
